Model,Batch,Alpha,Eval,Lang,Average,Std
bert,32,0.05,Recall,Englisch,0.76,0.001050000000000051
bert,64,0.05,Recall,Englisch,0.72,0.00030000000000002247
bert,16,0.1,Recall,Englisch,0.8,0.0020000000000000018
bert,32,0.1,Recall,Englisch,0.79,0.00035000000000001696
bert,64,0.1,Recall,Englisch,0.76,0.00269999999999998
bert,16,0.15,Recall,Englisch,0.81,0.003500000000000003
bert,32,0.15,Recall,Englisch,0.8,0.0037499999999999756
bert,64,0.15,Recall,Englisch,0.78,0.007199999999999984
bert,16,0.2,Recall,Englisch,0.81,0.0019500000000000073
bert,32,0.2,Recall,Englisch,0.81,0.004799999999999971
bert,64,0.2,Recall,Englisch,0.79,0.00020000000000003348
roberta,16,0.05,Recall,Englisch,0.81,0.000749999999999973
roberta,32,0.05,Recall,Englisch,0.8,0.0008000000000000229
roberta,64,0.05,Recall,Englisch,0.76,0.0022999999999999687
roberta,16,0.1,Recall,Englisch,0.83,0.009099999999999997
roberta,32,0.1,Recall,Englisch,0.82,0.00605
